Branch_nr;Generation;Parent_branch_nr;Child_branch_nr;Pos_x,Pos_y,Pos_z
1;1;0;4,5;-53.0654,96.844,-103.76
1;1;0;4,5;-53.3879,96.8902,-103.329
1;1;0;4,5;-53.7113,96.9365,-102.897
1;1;0;4,5;-54.0354,96.984,-102.465
1;1;0;4,5;-54.3602,97.0327,-102.033
1;1;0;4,5;-54.6859,97.0816,-101.6
1;1;0;4,5;-55.0124,97.1306,-101.167
1;1;0;4,5;-55.3393,97.1817,-100.734
1;1;0;4,5;-55.6669,97.233,-100.301
1;1;0;4,5;-55.9954,97.2845,-99.8683
1;1;0;4,5;-56.3247,97.3372,-99.4346
1;1;0;4,5;-56.6543,97.3909,-99.0012
1;1;0;4,5;-56.9844,97.4448,-98.5681
1;1;0;4,5;-57.3154,97.4999,-98.1346
1;1;0;4,5;-57.6467,97.5561,-97.7013
1;1;0;4,5;-57.9786,97.6125,-97.2684
1;1;0;4,5;-58.3108,97.6699,-96.8359
1;1;0;4,5;-58.6433,97.7285,-96.4036
1;1;0;4,5;-58.9763,97.7872,-95.9717
1;1;0;4,5;-59.3096,97.8469,-95.5401
1;1;0;4,5;-59.6432,97.9078,-95.1088
1;1;0;4,5;-59.9772,97.9689,-94.6779
1;1;0;4,5;-60.3116,98.031,-94.2472
1;1;0;4,5;-60.6456,98.0941,-93.8176
1;1;0;4,5;-60.9806,98.1575,-93.3875
1;1;0;4,5;-61.315,98.2207,-92.9594
1;1;0;4,5;-61.65,98.2862,-92.5306
1;1;0;4,5;-61.985,98.3507,-92.103
1;1;0;4,5;-62.3194,98.4171,-91.6764
1;1;0;4,5;-62.6545,98.4827,-91.2501
1;1;0;4,5;-62.989,98.5503,-90.8249
1;1;0;4,5;-63.3239,98.618,-90.3999
1;1;0;4,5;-63.658,98.6856,-89.9768
1;1;0;4,5;-63.9923,98.7543,-89.5539
1;1;0;4,5;-64.3262,98.8239,-89.132
1;1;0;4,5;-64.6606,98.8927,-88.7105
1;1;0;4,5;-64.9938,98.9634,-88.2907
1;1;0;4,5;-65.3268,99.034,-87.8719
1;1;0;4,5;-65.6595,99.1047,-87.4542
1;1;0;4,5;-65.9918,99.1763,-87.0375
1;1;0;4,5;-66.3238,99.248,-86.6218
1;1;0;4,5;-66.6549,99.3195,-86.2079
1;1;0;4,5;-66.9861,99.3921,-85.7942
1;1;0;4,5;-67.3163,99.4656,-85.3823
1;1;0;4,5;-67.6456,99.539,-84.9722
1;1;0;4,5;-67.9746,99.6124,-84.5631
1;1;0;4,5;-68.3032,99.6858,-84.1549
1;1;0;4,5;-68.6308,99.76,-83.7486
1;1;0;4,5;-68.9574,99.8342,-83.344
1;1;0;4,5;-69.2834,99.9093,-82.9403
1;1;0;4,5;-69.6086,99.9843,-82.5385
1;1;0;4,5;-69.9328,100.059,-82.1384
1;1;0;4,5;-70.2558,100.135,-81.74
1;1;0;4,5;-70.5779,100.211,-81.3434
1;1;0;4,5;-70.8996,100.286,-80.9477
1;1;0;4,5;-71.2197,100.362,-80.5546
1;1;0;4,5;-71.5392,100.438,-80.1623
1;1;0;4,5;-71.8572,100.514,-79.7726
1;1;0;4,5;-72.1741,100.59,-79.3846
1;1;0;4,5;-72.49,100.666,-78.9984
